replicate,dimension,category_vs_moral,estimand,estimate,first_stage_converged,first_stage_iterations,first_stage_gradient_max,n_frames,n_bootstrap_clusters
14,game,S,difference,0.022284355593140598,True,112,0.001328566777954343,1059,990
15,condition,C,base_slope,-0.0037540701231953168,True,104,0.004101873948387014,1069,990
15,condition,C,comparison_slope,-0.05601516180982412,True,104,0.004101873948387014,1069,990
15,condition,C,difference,-0.0522610916866288,True,104,0.004101873948387014,1069,990
15,condition,S,base_slope,-0.04024003580684339,True,104,0.004101873948387014,1069,990
15,condition,S,comparison_slope,-0.04433796704926616,True,104,0.004101873948387014,1069,990
15,condition,S,difference,-0.004097931242422769,True,104,0.004101873948387014,1069,990
15,game,C,base_slope,-0.0503940596768857,True,104,0.004101873948387014,1069,990
15,game,C,comparison_slope,-0.048510274923858024,True,104,0.004101873948387014,1069,990
15,game,C,difference,0.0018837847530276774,True,104,0.004101873948387014,1069,990
15,game,S,base_slope,-0.040625352928914005,True,104,0.004101873948387014,1069,990
15,game,S,comparison_slope,-0.025156425062578595,True,104,0.004101873948387014,1069,990
15,game,S,difference,0.01546892786633541,True,104,0.004101873948387014,1069,990
16,condition,C,base_slope,-0.007822723296312551,True,113,0.0010715049811973465,1073,990
16,condition,C,comparison_slope,-0.047509757567820915,True,113,0.0010715049811973465,1073,990
16,condition,C,difference,-0.03968703427150837,True,113,0.0010715049811973465,1073,990
16,condition,S,base_slope,-0.07188250342480283,True,113,0.0010715049811973465,1073,990
16,condition,S,comparison_slope,-0.04658723804529185,True,113,0.0010715049811973465,1073,990
16,condition,S,difference,0.025295265379510982,True,113,0.0010715049811973465,1073,990
16,game,C,base_slope,-0.04630543834270282,True,113,0.0010715049811973465,1073,990
16,game,C,comparison_slope,-0.02652874824097714,True,113,0.0010715049811973465,1073,990
16,game,C,difference,0.019776690101725683,True,113,0.0010715049811973465,1073,990
16,game,S,base_slope,-0.04962759877628097,True,113,0.0010715049811973465,1073,990
16,game,S,comparison_slope,0.009568468579683569,True,113,0.0010715049811973465,1073,990
16,game,S,difference,0.05919606735596454,True,113,0.0010715049811973465,1073,990
17,condition,C,base_slope,0.1677232601409842,True,117,0.0008090070824806617,1071,990
17,condition,C,comparison_slope,-0.05514507032571242,True,117,0.0008090070824806617,1071,990
17,condition,C,difference,-0.22286833046669663,True,117,0.0008090070824806617,1071,990
17,condition,S,base_slope,-0.03584252959955942,True,117,0.0008090070824806617,1071,990
17,condition,S,comparison_slope,-0.07987940232487024,True,117,0.0008090070824806617,1071,990
17,condition,S,difference,-0.04403687272531082,True,117,0.0008090070824806617,1071,990
17,game,C,base_slope,-0.042687705164608104,True,117,0.0008090070824806617,1071,990
17,game,C,comparison_slope,-0.041668823618297726,True,117,0.0008090070824806617,1071,990
17,game,C,difference,0.0010188815463103812,True,117,0.0008090070824806617,1071,990
17,game,S,base_slope,-0.06474334582203733,True,117,0.0008090070824806617,1071,990
17,game,S,comparison_slope,-0.025108624651535093,True,117,0.0008090070824806617,1071,990
17,game,S,difference,0.03963472117050224,True,117,0.0008090070824806617,1071,990
18,condition,C,base_slope,0.019450254627378906,True,115,0.00040987449317775315,1050,990
18,condition,C,comparison_slope,-0.05922422666984744,True,115,0.00040987449317775315,1050,990
18,condition,C,difference,-0.07867448129722635,True,115,0.00040987449317775315,1050,990
18,condition,S,base_slope,-0.04686284079874248,True,115,0.00040987449317775315,1050,990
18,condition,S,comparison_slope,-0.06405322240968365,True,115,0.00040987449317775315,1050,990
18,condition,S,difference,-0.01719038161094118,True,115,0.00040987449317775315,1050,990
18,game,C,base_slope,-0.0536576215109606,True,115,0.00040987449317775315,1050,990
18,game,C,comparison_slope,-0.018505106640224762,True,115,0.00040987449317775315,1050,990
18,game,C,difference,0.03515251487073584,True,115,0.00040987449317775315,1050,990
18,game,S,base_slope,-0.05742308435104532,True,115,0.00040987449317775315,1050,990
18,game,S,comparison_slope,-0.008582156743105439,True,115,0.00040987449317775315,1050,990
18,game,S,difference,0.04884092760793988,True,115,0.00040987449317775315,1050,990
19,condition,C,base_slope,0.09328606258125996,True,103,0.0003538148638486671,1054,990
19,condition,C,comparison_slope,-0.06293444667318454,True,103,0.0003538148638486671,1054,990
19,condition,C,difference,-0.1562205092544445,True,103,0.0003538148638486671,1054,990
19,condition,S,base_slope,-0.05774065495820782,True,103,0.0003538148638486671,1054,990
19,condition,S,comparison_slope,-0.034684348104501835,True,103,0.0003538148638486671,1054,990
19,condition,S,difference,0.023056306853705986,True,103,0.0003538148638486671,1054,990
19,game,C,base_slope,-0.057806311381352844,True,103,0.0003538148638486671,1054,990
19,game,C,comparison_slope,-0.027441800626057215,True,103,0.0003538148638486671,1054,990
19,game,C,difference,0.03036451075529563,True,103,0.0003538148638486671,1054,990
19,game,S,base_slope,-0.034632638329127365,True,103,0.0003538148638486671,1054,990
19,game,S,comparison_slope,-0.011336768616109324,True,103,0.0003538148638486671,1054,990
19,game,S,difference,0.02329586971301804,True,103,0.0003538148638486671,1054,990
20,condition,C,base_slope,0.11166192293487535,True,110,0.00040754816005517114,1061,990
20,condition,C,comparison_slope,-0.03813779623192838,True,110,0.00040754816005517114,1061,990
20,condition,C,difference,-0.14979971916680374,True,110,0.00040754816005517114,1061,990
20,condition,S,base_slope,-0.04267464945277204,True,110,0.00040754816005517114,1061,990
20,condition,S,comparison_slope,-0.04862715974512344,True,110,0.00040754816005517114,1061,990
20,condition,S,difference,-0.005952510292351401,True,110,0.00040754816005517114,1061,990
20,game,C,base_slope,-0.02723579905583675,True,110,0.00040754816005517114,1061,990
20,game,C,comparison_slope,-0.04037033492759076,True,110,0.00040754816005517114,1061,990
20,game,C,difference,-0.013134535871754014,True,110,0.00040754816005517114,1061,990
20,game,S,base_slope,-0.04149192965705076,True,110,0.00040754816005517114,1061,990
20,game,S,comparison_slope,-0.0028868832101790337,True,110,0.00040754816005517114,1061,990
20,game,S,difference,0.038605046446871724,True,110,0.00040754816005517114,1061,990
21,condition,C,base_slope,-0.04171506526134993,True,115,0.00306728080405283,1071,990
21,condition,C,comparison_slope,-0.037759107516955506,True,115,0.00306728080405283,1071,990
21,condition,C,difference,0.003955957744394428,True,115,0.00306728080405283,1071,990
21,condition,S,base_slope,-0.05354856573493943,True,115,0.00306728080405283,1071,990
21,condition,S,comparison_slope,-0.06315049121676558,True,115,0.00306728080405283,1071,990
21,condition,S,difference,-0.009601925481826156,True,115,0.00306728080405283,1071,990
21,game,C,base_slope,-0.03726484018642156,True,115,0.00306728080405283,1071,990
21,game,C,comparison_slope,-0.014053714259314315,True,115,0.00306728080405283,1071,990
21,game,C,difference,0.023211125927107244,True,115,0.00306728080405283,1071,990
21,game,S,base_slope,-0.06084103806910698,True,115,0.00306728080405283,1071,990
21,game,S,comparison_slope,-0.0018572191368068786,True,115,0.00306728080405283,1071,990
21,game,S,difference,0.0589838189323001,True,115,0.00306728080405283,1071,990
22,condition,C,base_slope,0.07997172912917135,True,124,0.002176117449419035,1052,990
22,condition,C,comparison_slope,-0.0465246560431261,True,124,0.002176117449419035,1052,990
22,condition,C,difference,-0.12649638517229744,True,124,0.002176117449419035,1052,990
22,condition,S,base_slope,-0.017434859765668262,True,124,0.002176117449419035,1052,990
22,condition,S,comparison_slope,-0.04595470576017791,True,124,0.002176117449419035,1052,990
22,condition,S,difference,-0.02851984599450965,True,124,0.002176117449419035,1052,990
22,game,C,base_slope,-0.03809383541412119,True,124,0.002176117449419035,1052,990
22,game,C,comparison_slope,-0.044412500243654625,True,124,0.002176117449419035,1052,990
22,game,C,difference,-0.006318664829533437,True,124,0.002176117449419035,1052,990
22,game,S,base_slope,-0.036469683497105075,True,124,0.002176117449419035,1052,990
22,game,S,comparison_slope,-0.01690449026073399,True,124,0.002176117449419035,1052,990
22,game,S,difference,0.019565193236371084,True,124,0.002176117449419035,1052,990
23,condition,C,base_slope,0.07848215900683955,True,119,0.0013966976532695519,1041,990
23,condition,C,comparison_slope,-0.031241026797115018,True,119,0.0013966976532695519,1041,990
