comparison,origin_cell,destination_cell,PROLIFIC_PID,origin_trial_order,destination_trial_order,origin_weight_M,origin_weight_S,origin_weight_C,destination_weight_M,destination_weight_S,destination_weight_C,delta_weight_M,delta_weight_S,delta_weight_C,origin_share_sent,destination_share_sent,delta_share_sent
KW Control to LT Control,kw_control,lt_control,599dacb43c7d1a0001deef97,2,1,0.7288123664630296,0.24687778125082477,0.024309852286145676,0.6303571645305273,0.3463919393489349,0.023250896120537844,-0.09845520193250235,0.09951415809811015,-0.0010589561656078328,0.5,0.5,0.0
KW Control to LT Control,kw_control,lt_control,59d264e2faf42e00012b6cba,1,2,0.7174442778377254,0.25816406726181873,0.024391654900455986,0.6938059520656559,0.28085585526866186,0.025338192665682248,-0.02363832577206948,0.022691788006843128,0.0009465377652262616,0.5,0.5,0.0
KW Control to LT Control,kw_control,lt_control,59d37a45f7b7a00001198315,2,1,0.8013508869904555,0.17108433562849146,0.027564777381053,0.7214308112126578,0.2518708562066857,0.026698332580656493,-0.0799200757777977,0.08078652057819424,-0.000866444800396507,0.5,0.6666666666666667,0.16666666666666674
KW Control to LT Control,kw_control,lt_control,59dc80b77f3d71000171d3c8,1,2,0.6601106837385211,0.31913021086148324,0.02075910539999561,0.6363830781276004,0.3404559467775654,0.02316097509483422,-0.023727605610920688,0.021325735916082167,0.002401869694838611,0.5,0.5,0.0
KW Control to LT Control,kw_control,lt_control,59dc8c1b24d7bf00012f099f,1,2,0.7983568938432501,0.17360022704942335,0.02804287910732649,0.7214308112126578,0.2518708562066857,0.026698332580656493,-0.07692608263059231,0.07827062915726235,-0.0013445465266699978,0.5,0.5,0.0
KW Control to LT Control,kw_control,lt_control,59e60f9a3e4b5a00016aa0cd,2,1,0.7910290791819482,0.17983991364527635,0.02913100717277548,0.7201579966200553,0.2524141807839747,0.027427822595970007,-0.0708710825618929,0.07257426713869836,-0.0017031845768054714,1.0,0.8333333333333334,-0.16666666666666663
KW Control to LT Control,kw_control,lt_control,59e8502b7f3d71000171df0a,2,1,0.7174442778377254,0.25816406726181873,0.024391654900455986,0.6363830781276004,0.3404559467775654,0.02316097509483422,-0.08106119971012493,0.08229187951574668,-0.0012306798056217656,0.5,0.5,0.0
KW Control to LT Control,kw_control,lt_control,59e9d2c6c0d35a0001295448,2,1,0.7348240386038116,0.24112598057838544,0.024049980817803,0.7353339905215043,0.22161279241119422,0.04305321706730151,0.0005099519176926526,-0.01951318816719122,0.01900323624949851,0.5,0.6666666666666667,0.16666666666666674
KW Control to LT Control,kw_control,lt_control,59edc2c816ecc200016ff9cc,1,2,0.8013508869904555,0.17108433562849146,0.027564777381053,0.6938059520656559,0.28085585526866186,0.025338192665682248,-0.10754493492479966,0.1097715196401704,-0.0022265847153707524,0.3333333333333333,0.6666666666666667,0.3333333333333334
KW Control to LT Control,kw_control,lt_control,59fd4a71f5b5a3000139379c,2,1,0.7247105410046907,0.25111932744758747,0.024170131547721904,0.6882857048777671,0.28573775013476477,0.025976544987468205,-0.0364248361269236,0.0346184226871773,0.0018064134397463016,0.5,0.6666666666666667,0.16666666666666674
KW Control to LT Control,kw_control,lt_control,5a00e6da120fb300019480b3,1,2,0.7247105410046907,0.25111932744758747,0.024170131547721904,0.7353339905215043,0.22161279241119422,0.04305321706730151,0.010623449516813599,-0.02950653503639325,0.018883085519579606,0.5,0.5,0.0
KW Control to LT Control,kw_control,lt_control,5a4e26a8f4c9dc0001b7a1b5,1,2,0.6392746284443539,0.340326294247655,0.020399077307991058,0.6363830781276004,0.3404559467775654,0.02316097509483422,-0.0028915503167534773,0.00012965252991042897,0.002761897786843163,0.3333333333333333,0.3333333333333333,0.0
KW Control to LT Control,kw_control,lt_control,5a6f51ec46f0230001ce445f,1,2,0.7511431125319626,0.22282099075970763,0.026035896708329672,0.6363830781276004,0.3404559467775654,0.02316097509483422,-0.11476003440436222,0.11763495601785778,-0.0028749216134954514,0.5,0.6666666666666667,0.16666666666666674
KW Control to LT Control,kw_control,lt_control,5a7c5a98eea3d300016e1d1e,2,1,0.7715572501077551,0.16592244856587485,0.06252030132636997,0.6535079475081452,0.3221259540516671,0.02436609844018762,-0.11804930259960988,0.15620350548579226,-0.03815420288618235,0.5,0.5833333333333333,0.08333333333333326
KW Control to LT Control,kw_control,lt_control,5a8e54c9f49c9a0001f3dc3f,1,2,0.7348240386038116,0.24112598057838544,0.024049980817803,0.7214308112126578,0.2518708562066857,0.026698332580656493,-0.013393227391153784,0.01074487562830026,0.0026483517628534924,0.5,0.5,0.0
KW Control to LT Control,kw_control,lt_control,5a9a24ccb5e2110001c6c391,2,1,0.8013508869904555,0.17108433562849146,0.027564777381053,0.6538570836438568,0.30747085837019655,0.03867205798594665,-0.14749380334659878,0.1363865227417051,0.011107280604893653,0.4166666666666666,0.6666666666666667,0.25000000000000017
KW Control to LT Control,kw_control,lt_control,5acb4bac9534ba0001c780aa,2,1,0.8013508869904555,0.17108433562849146,0.027564777381053,0.7484564738128856,0.2241181293459907,0.027425396841123665,-0.05289441317756993,0.05303379371749925,-0.00013938053992933533,0.1666666666666666,0.4583333333333333,0.29166666666666674
KW Control to LT Control,kw_control,lt_control,5acc2d21436f550001003111,2,1,0.7314833179809022,0.24407625304855812,0.02444042897053967,0.6313675806658176,0.34529477225990646,0.023337647074276043,-0.10011573731508461,0.10121851921134833,-0.0011027818962636264,0.5,0.5,0.0
KW Control to LT Control,kw_control,lt_control,5ad9b1111771b700010a0f1a,1,2,0.8013508869904555,0.17108433562849146,0.027564777381053,0.6938059520656559,0.28085585526866186,0.025338192665682248,-0.10754493492479966,0.1097715196401704,-0.0022265847153707524,0.5,0.5,0.0
KW Control to LT Control,kw_control,lt_control,5aed87e375deca0001627011,1,2,0.7348240386038116,0.24112598057838544,0.024049980817803,0.7214308112126578,0.2518708562066857,0.026698332580656493,-0.013393227391153784,0.01074487562830026,0.0026483517628534924,0.2916666666666666,0.5,0.20833333333333343
KW Control to LT Control,kw_control,lt_control,5af15fc9e1b5b8000148a99d,1,2,0.7084072414820392,0.2360778812497956,0.0555148772681653,0.7214308112126578,0.2518708562066857,0.026698332580656493,0.01302356973061869,0.01579297495689011,-0.028816544687508806,0.5,0.5,0.0
KW Control to LT Control,kw_control,lt_control,5af36fff59229a0001d1bd6a,1,2,0.6601106837385211,0.31913021086148324,0.02075910539999561,0.6535079475081452,0.3221259540516671,0.02436609844018762,-0.006602736230375883,0.002995743190183864,0.0036069930401920122,0.1666666666666666,0.3333333333333333,0.1666666666666667
KW Control to LT Control,kw_control,lt_control,5af4579eb625f70001e0cfad,1,2,0.7288123664630296,0.24687778125082477,0.024309852286145676,0.693409797223655,0.2807834826973948,0.025806720078950227,-0.03540256923937457,0.033905701446570014,0.0014968677928045501,0.5,0.5,0.0
KW Control to LT Control,kw_control,lt_control,5afd6d5b56fe2c0001690178,1,2,0.7348240386038116,0.24112598057838544,0.024049980817803,0.6363830781276004,0.3404559467775654,0.02316097509483422,-0.0984409604762112,0.09932996619917997,-0.0008890057229687803,0.5,0.5,0.0
KW Control to LT Control,kw_control,lt_control,5b0d39f4641b1200010ef716,1,2,0.673915535233119,0.30449337349279704,0.021591091274083905,0.6595412221690814,0.31589771968048086,0.02456105815043769,-0.01437431306403758,0.011404346187683823,0.0029699668763537856,0.5,0.5416666666666667,0.04166666666666674
KW Control to LT Control,kw_control,lt_control,5b2405d534ffd00001b41156,1,2,0.7567179274067074,0.21755424288361602,0.02572782970967654,0.7182400195448464,0.25474422240125416,0.027015758053899438,-0.038477907861861005,0.03718997951763814,0.0012879283442228974,0.5,0.5,0.0
KW Control to LT Control,kw_control,lt_control,5b5523d6d8348500012cfccf,2,1,0.7314833179809022,0.24407625304855812,0.02444042897053967,0.6592451239606861,0.31650686138476325,0.02424801465455068,-0.07223819402021603,0.07243060833620513,-0.0001924143159889903,0.5,0.5,0.0
KW Control to LT Control,kw_control,lt_control,5b60d0396187040001b252f6,2,1,0.8013508869904555,0.17108433562849146,0.027564777381053,0.7484564738128856,0.2241181293459907,0.027425396841123665,-0.05289441317756993,0.05303379371749925,-0.00013938053992933533,0.5,0.5,0.0
KW Control to LT Control,kw_control,lt_control,5b60ddcc6b25590001782ce4,2,1,0.7931267787554512,0.17834397085079468,0.028529250393754042,0.7270089158503146,0.24614332647722914,0.026847757672456285,-0.06611786290513666,0.06779935562643447,-0.0016814927212977573,0.0,0.0,0.0
KW Control to LT Control,kw_control,lt_control,5b646a727c39ee00010a18b0,2,1,0.7288992627058608,0.21053110997781643,0.06056962731632285,0.693409797223655,0.2807834826973948,0.025806720078950227,-0.03548946548220577,0.07025237271957835,-0.034762907237372624,0.5,0.5,0.0
KW Control to LT Control,kw_control,lt_control,5b7535d184850400011a07b8,1,2,0.7348240386038116,0.24112598057838544,0.024049980817803,0.6363830781276004,0.3404559467775654,0.02316097509483422,-0.0984409604762112,0.09932996619917997,-0.0008890057229687803,0.5,0.6666666666666667,0.16666666666666674
KW Control to LT Control,kw_control,lt_control,5b75ac687dc4b00001af4e50,2,1,0.7247105410046907,0.25111932744758747,0.024170131547721904,0.7460435092734893,0.22617513582291215,0.027781354903598565,0.021332968268798602,-0.024944191624675316,0.0036112233558766617,0.5,0.5,0.0
KW Control to LT Control,kw_control,lt_control,5b91755520257e0001ab1a0b,1,2,0.6475290386846746,0.3317661475520867,0.020704813763238718,0.6423211975706404,0.31876239439532106,0.03891640803403837,-0.005207841114034162,-0.013003753156765663,0.01821159427079965,0.1666666666666666,0.3333333333333333,0.1666666666666667
KW Control to LT Control,kw_control,lt_control,5bad656fb4bc6e0001c1709e,1,2,0.7348240386038116,0.24112598057838544,0.024049980817803,0.6363830781276004,0.3404559467775654,0.02316097509483422,-0.0984409604762112,0.09932996619917997,-0.0008890057229687803,0.5,0.5,0.0
KW Control to LT Control,kw_control,lt_control,5bbdea3d8f3bd70001e77572,2,1,0.7647913599311965,0.16989751888954802,0.06531112117925553,0.7270089158503146,0.24614332647722914,0.026847757672456285,-0.03778244408088194,0.07624580758768112,-0.03846336350679924,0.0833333333333333,0.1666666666666666,0.0833333333333333
