replicate,term,coefficient,first_stage_converged,first_stage_iterations,first_stage_gradient_max,n_frames,n_bootstrap_clusters
102,weight_S,-0.25531364587141975,True,101,0.001813947612099076,1055,990
103,weight_C,-0.25436096376053047,True,93,0.0008089768167858225,1046,990
103,weight_S,-0.22864556708979894,True,93,0.0008089768167858225,1046,990
104,weight_C,-0.3095070492909279,True,99,0.0008483085071357976,1054,990
104,weight_S,-0.28660338732877816,True,99,0.0008483085071357976,1054,990
105,weight_C,-0.2368662240548426,True,106,0.0035719118839812047,1046,990
105,weight_S,-0.1960552047304723,True,106,0.0035719118839812047,1046,990
106,weight_C,-0.2699074975509792,True,112,0.00032276435791744884,1065,990
106,weight_S,-0.17324950617013493,True,112,0.00032276435791744884,1065,990
107,weight_C,-0.32295645693882363,True,100,0.000356175488719801,1057,990
107,weight_S,-0.2645858244666951,True,100,0.000356175488719801,1057,990
108,weight_C,-0.24212492180619222,True,113,0.0020144512184303576,1054,990
108,weight_S,-0.23755520963670418,True,113,0.0020144512184303576,1054,990
109,weight_C,-0.317355202329475,True,102,0.0012757560664127254,1052,990
109,weight_S,-0.2402337713239192,True,102,0.0012757560664127254,1052,990
110,weight_C,-0.14090557453292402,True,114,0.0009823500973064059,1059,990
110,weight_S,-0.1152590584147712,True,114,0.0009823500973064059,1059,990
111,weight_C,-0.22891031858371286,True,112,0.003846327521428883,1067,990
111,weight_S,-0.1472792184101325,True,112,0.003846327521428883,1067,990
112,weight_C,-0.27414360115918895,True,105,0.0010858901061010506,1054,990
112,weight_S,-0.15480171545161675,True,105,0.0010858901061010506,1054,990
113,weight_C,-0.3014864235940232,True,118,0.0013438743201554804,1055,990
113,weight_S,-0.28916226205065726,True,118,0.0013438743201554804,1055,990
114,weight_C,-0.24718197979007087,True,100,0.0022034268595994,1053,990
114,weight_S,-0.20582392695264176,True,100,0.0022034268595994,1053,990
115,weight_C,-0.27774931913054063,True,112,0.0005675237174593839,1057,990
115,weight_S,-0.22537682142752039,True,112,0.0005675237174593839,1057,990
116,weight_C,-0.2593872955785492,True,112,0.002849190533495971,1062,990
116,weight_S,-0.19207901276466063,True,112,0.002849190533495971,1062,990
117,weight_C,-0.21289295249454032,True,102,0.0005966796792078455,1070,990
117,weight_S,-0.20230348514605268,True,102,0.0005966796792078455,1070,990
118,weight_C,-0.14451314449662075,True,107,0.002458063247996911,1057,990
118,weight_S,-0.15632267075398468,True,107,0.002458063247996911,1057,990
119,weight_C,-0.23236478537123084,True,106,0.0011748456794276052,1057,990
119,weight_S,-0.20136299739405195,True,106,0.0011748456794276052,1057,990
120,weight_C,-0.23642091833930362,True,103,0.0017533808101042325,1050,990
120,weight_S,-0.20116416921181599,True,103,0.0017533808101042325,1050,990
121,weight_C,-0.2722714027854835,True,108,0.0077822464176207085,1057,990
121,weight_S,-0.19258690622986002,True,108,0.0077822464176207085,1057,990
122,weight_C,-0.2789202242538721,True,118,0.002682120750045147,1061,990
122,weight_S,-0.17350533992002834,True,118,0.002682120750045147,1061,990
123,weight_C,-0.2592058634986497,True,108,0.0008808276439438156,1077,990
123,weight_S,-0.2340922521388181,True,108,0.0008808276439438156,1077,990
124,weight_C,-0.24795651567698204,True,103,0.0005437836381023686,1060,990
124,weight_S,-0.1532705181519107,True,103,0.0005437836381023686,1060,990
125,weight_C,-0.3142576761989096,True,100,0.0012443226525146178,1064,990
125,weight_S,-0.16687615252682658,True,100,0.0012443226525146178,1064,990
126,weight_C,-0.18511827482956644,True,96,0.0034950923645573617,1078,990
126,weight_S,-0.13538548703212586,True,96,0.0034950923645573617,1078,990
127,weight_C,-0.14883388972491332,True,105,0.0013031548785815694,1053,990
127,weight_S,-0.09215500548132885,True,105,0.0013031548785815694,1053,990
128,weight_C,-0.2223785974855194,True,109,0.000794767807493324,1047,990
128,weight_S,-0.1657707094933433,True,109,0.000794767807493324,1047,990
129,weight_C,-0.31137824786687296,True,106,0.0020487100782665135,1061,990
129,weight_S,-0.2964159369644984,True,106,0.0020487100782665135,1061,990
130,weight_C,-0.17943245613036873,True,113,0.0005778778759195635,1044,990
130,weight_S,-0.16267501426326217,True,113,0.0005778778759195635,1044,990
131,weight_C,-0.22645925490111196,True,113,0.0007308645100258526,1065,990
131,weight_S,-0.2456455043720059,True,113,0.0007308645100258526,1065,990
132,weight_C,-0.18093419749698275,True,104,0.0017570224195271322,1061,990
132,weight_S,-0.22497842502792875,True,104,0.0017570224195271322,1061,990
133,weight_C,-0.38600116613725616,True,111,0.00041901609639183324,1062,990
133,weight_S,-0.31364868401280926,True,111,0.00041901609639183324,1062,990
134,weight_C,-0.25458994607365415,True,111,0.0010540176175148908,1061,990
134,weight_S,-0.15081556960242465,True,111,0.0010540176175148908,1061,990
135,weight_C,-0.347688083952537,True,103,0.000473373853400183,1057,990
135,weight_S,-0.20957928640902465,True,103,0.000473373853400183,1057,990
136,weight_C,-0.25425529238672306,True,120,0.000664053551629129,1062,990
136,weight_S,-0.16508238210023282,True,120,0.000664053551629129,1062,990
137,weight_C,-0.1930251947347138,True,103,0.003115481137940357,1064,990
137,weight_S,-0.09615123231529635,True,103,0.003115481137940357,1064,990
138,weight_C,-0.223847117943021,True,111,0.005994610715328363,1067,990
138,weight_S,-0.16004595819193848,True,111,0.005994610715328363,1067,990
139,weight_C,-0.25991460294950036,True,105,0.009038733160774193,1049,990
139,weight_S,-0.2067623774443204,True,105,0.009038733160774193,1049,990
140,weight_C,-0.29997681029362555,True,103,0.0008334392028154225,1059,990
140,weight_S,-0.217221343147529,True,103,0.0008334392028154225,1059,990
141,weight_C,-0.3153912360695733,True,91,0.0006611983776918517,1069,990
141,weight_S,-0.19068971088347644,True,91,0.0006611983776918517,1069,990
142,weight_C,-0.3036851339991558,True,101,0.0009311924404067362,1062,990
142,weight_S,-0.23682832328682085,True,101,0.0009311924404067362,1062,990
143,weight_C,-0.15897446945779078,True,101,0.000697366855261547,1070,990
143,weight_S,-0.15402869949253567,True,101,0.000697366855261547,1070,990
144,weight_C,-0.2853702676207407,True,113,0.002749962329866462,1066,990
144,weight_S,-0.14448322951751835,True,113,0.002749962329866462,1066,990
145,weight_C,-0.20523644779295586,True,110,0.0019468504225961247,1055,990
145,weight_S,-0.1302656861680752,True,110,0.0019468504225961247,1055,990
146,weight_C,-0.15553428739322372,True,118,0.0014196600810798543,1051,990
146,weight_S,-0.1122285116066064,True,118,0.0014196600810798543,1051,990
147,weight_C,-0.31287675170413487,True,110,0.0011604063950890198,1059,990
147,weight_S,-0.23270774168673072,True,110,0.0011604063950890198,1059,990
148,weight_C,-0.34573867480767784,True,105,0.000873223512249055,1071,990
148,weight_S,-0.19118467463310929,True,105,0.000873223512249055,1071,990
149,weight_C,-0.16801695164392458,True,99,0.0007486107696024202,1051,990
149,weight_S,-0.1331662413569331,True,99,0.0007486107696024202,1051,990
150,weight_C,-0.29089460337214224,True,101,0.0016587495454101209,1056,990
150,weight_S,-0.2985178529823255,True,101,0.0016587495454101209,1056,990
151,weight_C,-0.2141280330131873,True,101,0.0012166238784327987,1052,990
151,weight_S,-0.20442804976127926,True,101,0.0012166238784327987,1052,990
152,weight_C,-0.24644577948416665,True,111,0.0025957594674075324,1046,990
152,weight_S,-0.25214809190549814,True,111,0.0025957594674075324,1046,990
153,weight_C,-0.21406208745746577,True,115,0.0006861899457510923,1074,990
153,weight_S,-0.17891040613520834,True,115,0.0006861899457510923,1074,990
154,weight_C,-0.2906177413346623,True,109,0.000539131075835142,1054,990
154,weight_S,-0.21589669455549643,True,109,0.000539131075835142,1054,990
155,weight_C,-0.18851229407086198,True,100,0.0013735048071920053,1064,990
155,weight_S,-0.14924902471160345,True,100,0.0013735048071920053,1064,990
156,weight_C,-0.23824367589460496,True,107,0.0013797162597932733,1042,990
156,weight_S,-0.22147131720355373,True,107,0.0013797162597932733,1042,990
157,weight_C,-0.2596367165777803,True,100,0.0048007923188764234,1047,990
157,weight_S,-0.2890634217884814,True,100,0.0048007923188764234,1047,990
158,weight_C,-0.31164124199042664,True,109,0.000838704852119676,1053,990
158,weight_S,-0.26358985219056563,True,109,0.000838704852119676,1053,990
159,weight_C,-0.30328249151816933,True,120,0.0021480012359844647,1054,990
159,weight_S,-0.3118578579632149,True,120,0.0021480012359844647,1054,990
160,weight_C,-0.3427297953995131,True,109,0.00103306383683055,1040,990
160,weight_S,-0.28332922024564383,True,109,0.00103306383683055,1040,990
161,weight_C,-0.26342500986259104,True,117,0.0011064056795724309,1055,990
161,weight_S,-0.22477829979151648,True,117,0.0011064056795724309,1055,990
162,weight_C,-0.3184375723049432,True,110,0.0004286888655794102,1058,990
162,weight_S,-0.25544307218529755,True,110,0.0004286888655794102,1058,990
163,weight_C,-0.27853764869889647,True,112,0.0029659023358644676,1050,990
