subject_id,subject_effect_S,subject_effect_C,subject_weight_M,subject_weight_S,subject_weight_C
control_kwlt::5e1a39f62b01352b6c9e14bf,-0.23799628900253625,-0.08884379681815441,0.7379589815877461,0.2368827914401574,0.025158226972096513
control_kwlt::5e1bdbfd1795083ead4af5ee,-0.007237253851305408,-0.09688516547417071,0.702632506366125,0.2736997939154586,0.023667699718416403
control_kwlt::5e2b0d34a8dc8c000cc53114,0.11251517596287955,-0.06961130185229315,0.6826880414686928,0.2937317067694609,0.023580251761846326
control_kwlt::5e3019c0b5ba77016e2bcaf4,0.029533477958681022,-0.05138619755387391,0.6959316110210559,0.2795511433091861,0.024517245669757985
control_kwlt::5e399832a6df461b2f4db341,0.39516166676113895,-0.06433029208047165,0.6340497493417409,0.3440534495390166,0.021896801119242557
control_kwlt::5e3c7f2860b046068fcf5e4c,-0.6498440962506293,-0.10827162040531577,0.7942525364440723,0.17902558415158148,0.026721879404346147
control_kwlt::5e3cc69c13cf130bf27d6c94,0.5843045484947537,-0.08382297674210826,0.60003986966893,0.3797153219588151,0.020244808372254952
control_kwlt::5e40c06ac0507c307ee951eb,-0.3027748060554314,-0.09039032201166353,0.7474251297777662,0.22710645710343316,0.0254684131188007
control_kwlt::5e43021e5bb25719df134c7c,0.02690464766833014,-0.08378414722269055,0.6969230858422443,0.27930651094473447,0.02377040321302132
control_kwlt::5e45986b0f5e4105b6067c23,-0.03230017934168194,0.40000639540148525,0.6955599119977178,0.26590795572895026,0.03853213227333194
control_kwlt::5e493133b4bc203a048f8ce9,0.15335632889856046,-0.08542586276204688,0.6761505173927944,0.3008791247848613,0.022970357822344203
control_kwlt::5e4aa396b2c8eb000cc39e56,0.1533563288985605,-0.08542586276204688,0.6761505173927945,0.3008791247848613,0.022970357822344203
control_kwlt::5e4ce570d3132c1348aefd4d,-0.022650075677273444,-0.06496191854153775,0.7045254419652303,0.2709663320956802,0.024508225939089495
control_kwlt::5e510d0760dd0913e45370dc,-0.32061008980202593,-0.1028375011379067,0.7502246912669788,0.2245205683694907,0.02525474036353043
control_kwlt::5e62dfa2819b9d079c91b6d2,-0.4242498912334839,-0.0819993010526113,0.7643081123845519,0.20937871591028442,0.026313171705163625
control_kwlt::5e7c8696aaaa890009345427,0.31303727627346284,0.7898200745353648,0.6283439942358585,0.32056907950032165,0.051086926263819804
control_kwlt::5e7ca836a60b642ec70880b1,-0.32061008980202593,-0.1028375011379067,0.7502246912669788,0.2245205683694907,0.02525474036353043
control_kwlt::5e87a820c35eb042f00d4e3d,0.2934357239989487,-0.09051568370868383,0.6523219409782582,0.3256887653011594,0.021989293720582306
